model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;600;2;no weights;inverse linear;0.79552;0.94667;0.8645382173012128;0.85167
timbl;600;10;no weights;inverse linear;0.68677;0.98667;0.80984720802658;0.7683300000000001
timbl;600;1;gain ratio;exponential decay;0.80172;0.93;0.861108724274132;0.85
timbl;600;2;gain ratio;exponential decay;0.80172;0.93;0.861108724274132;0.85
timbl;600;10;gain ratio;exponential decay;0.78191;0.98;0.8698194572935054;0.8533299999999999
timbl;600;1;no weights;exponential decay;0.81818;0.93;0.8705137914860026;0.86167
timbl;600;2;no weights;exponential decay;0.76944;0.95667;0.8529006434120654;0.835
timbl;600;10;no weights;exponential decay;0.625;0.96667;0.7591633315951171;0.69333
timbl;650;1;gain ratio;equal;0.81818;0.93;0.8705137914860026;0.86167
timbl;650;2;gain ratio;equal;0.77994;0.93333;0.8497684547094153;0.835
timbl;650;10;gain ratio;equal;0.77867;0.97333;0.865185925913242;0.8483299999999999
timbl;650;1;no weights;equal;0.81416;0.92;0.863850163768049;0.855
timbl;650;2;no weights;equal;0.7829699999999999;0.95;0.8584355182143949;0.8433299999999999
timbl;650;10;no weights;equal;0.65632;0.98667;0.7882838658786724;0.735
timbl;650;1;gain ratio;inverse distance;0.81818;0.93;0.8705137914860026;0.86167
timbl;650;2;gain ratio;inverse distance;0.80233;0.92;0.8571453786440462;0.84667
timbl;650;10;gain ratio;inverse distance;0.80274;0.97667;0.8812045293664754;0.8683299999999999
timbl;650;1;no weights;inverse distance;0.81416;0.92;0.863850163768049;0.855
timbl;650;2;no weights;inverse distance;0.80857;0.94333;0.8707669822478452;0.86
timbl;650;10;no weights;inverse distance;0.67735;0.98667;0.803260687371546;0.7583300000000001
timbl;650;1;gain ratio;inverse linear;0.8134100000000001;0.93;0.8678065400565559;0.8583299999999999
timbl;650;2;gain ratio;inverse linear;0.79202;0.92667;0.8540704529612669;0.84167
timbl;650;10;gain ratio;inverse linear;0.7972600000000001;0.97;0.8751878048504466;0.86167
timbl;650;1;no weights;inverse linear;0.8005800000000001;0.92333;0.8575848291384122;0.84667
timbl;650;2;no weights;inverse linear;0.78992;0.94;0.8584498705142434;0.845
timbl;650;10;no weights;inverse linear;0.69231;0.99;0.8148164131462097;0.775
timbl;650;1;gain ratio;exponential decay;0.81818;0.93;0.8705137914860026;0.86167
timbl;650;2;gain ratio;exponential decay;0.78857;0.92;0.8492299408277098;0.83667
timbl;650;10;gain ratio;exponential decay;0.78763;0.97667;0.8720224362069945;0.85667
timbl;650;1;no weights;exponential decay;0.8029;0.92333;0.8589141157319709;0.8483299999999999
timbl;650;2;no weights;exponential decay;0.75936;0.94667;0.842732344917733;0.8233299999999999
timbl;650;10;no weights;exponential decay;0.6148899999999999;0.96333;0.7506456434464143;0.68
timbl;700;1;gain ratio;equal;0.81579;0.93;0.8691591772206281;0.86
timbl;700;2;gain ratio;equal;0.78771;0.94;0.8571431548118608;0.8433299999999999
timbl;700;10;gain ratio;equal;0.77368;0.98;0.8647032525888417;0.84667
timbl;700;1;no weights;equal;0.8313299999999999;0.92;0.873420314846431;0.86667
timbl;700;2;no weights;equal;0.7872899999999999;0.95;0.8610255052409213;0.84667
timbl;700;10;no weights;equal;0.66667;0.98667;0.7957023829339398;0.74667
timbl;700;1;gain ratio;inverse distance;0.81579;0.93;0.8691591772206281;0.86
timbl;700;2;gain ratio;inverse distance;0.80523;0.92333;0.8602455406812607;0.85
